train_loss,test_loss,top1_accuracy,top5_accuracy,inference_time
,13295521186080.36,10.0,50.0,0.20215500640869144
2.7830970404052735,2.042040119934082,22.04,77.41,0.17371935987472534
1.8608280799102783,2.0262089153289793,29.87,80.08,0.11697667169570926
1.6610967168426514,1.685477356338501,38.95,88.24,0.11428761577606203
1.547485683517456,1.4595520427703856,45.79,92.42,0.16964086318016053
1.4542995531463623,1.4675341125488282,46.98,93.15,0.1323918397426605
1.368864815750122,1.3349629066467286,52.28,93.54,0.20591193628311155
1.2879906552505493,1.295889609336853,52.97,94.18,0.11440755295753482
1.2187524969482422,1.2085253387451171,56.21,94.94,0.1753426246643066
1.1512124599838256,1.1338270317077637,59.42,95.52,0.1487874252796173
1.0878385150146483,1.0687592512130737,61.65,96.02,0.11368140816688542
