module,param,sparsity,size,shape,flops,score mean,score variance,score sum,score abs mean,score abs variance,score abs sum,prunable
conv,weight,0.29629629850387573,432,"(16, 3, 3, 3)",442368,-0.03898732736706734,1.0570048093795776,-16.842525482177734,0.8374557495117188,0.3571927845478058,361.7808837890625,True
bn,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
bn,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.conv1,weight,0.3055555522441864,2304,"(16, 16, 3, 3)",2359296,-0.016343683004379272,0.9827690124511719,-37.655845642089844,0.7824509739875793,0.37080660462379456,1802.76708984375,True
blocks.0.bn1,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.bn1,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.conv2,weight,0.3125,2304,"(16, 16, 3, 3)",2359296,-0.006619137246161699,0.973046600818634,-15.250492095947266,0.7881378531455994,0.3519291281700134,1815.86962890625,True
blocks.0.bn2,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.bn2,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.shortcut,weight,1.0,16,"(16, 1, 1)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.conv1,weight,0.3072916567325592,2304,"(16, 16, 3, 3)",2359296,-0.01356416568160057,0.9986836314201355,-31.25183868408203,0.7928366661071777,0.3702775537967682,1826.6956787109375,True
blocks.1.bn1,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.bn1,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.conv2,weight,0.3012152910232544,2304,"(16, 16, 3, 3)",2359296,-0.04896059259772301,0.9571483135223389,-112.80520629882812,0.7865712642669678,0.3408510982990265,1812.26025390625,True
blocks.1.bn2,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.bn2,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.shortcut,weight,1.0,16,"(16, 1, 1)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
