module,param,sparsity,size,shape,flops,score mean,score variance,score sum,score abs mean,score abs variance,score abs sum,prunable
conv,weight,0.5555555820465088,432,"(16, 3, 3, 3)",442368,0.0002043620916083455,1.039622247844818e-06,0.08828442543745041,0.0005783212836831808,7.469305387530767e-07,0.249834805727005,True
bn,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
bn,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.conv1,weight,0.4427083432674408,2304,"(16, 16, 3, 3)",2359296,2.5253240892197937e-05,1.1419495393738543e-07,0.058183468878269196,0.00012474280083552003,9.927192223813108e-08,0.28740742802619934,True
blocks.0.bn1,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.bn1,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.conv2,weight,0.4288194477558136,2304,"(16, 16, 3, 3)",2359296,2.5165518309222534e-05,1.497375166081838e-07,0.057981353253126144,0.0001321677555097267,1.329024854612726e-07,0.30451449751853943,True
blocks.0.bn2,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.bn2,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.shortcut,weight,1.0,16,"(16, 1, 1)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.conv1,weight,0.4175347089767456,2304,"(16, 16, 3, 3)",2359296,1.269230415346101e-05,1.4481267385235697e-07,0.029243068769574165,0.0001361985778203234,1.2642372837490257e-07,0.31380152702331543,True
blocks.1.bn1,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.bn1,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.conv2,weight,0.3741319477558136,2304,"(16, 16, 3, 3)",2359296,1.2430386050255038e-05,1.5298977018574078e-07,0.02863960899412632,0.00013473365106619895,1.349911258330394e-07,0.3104263246059418,True
blocks.1.bn2,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.bn2,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.shortcut,weight,1.0,16,"(16, 1, 1)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.conv1,weight,0.3693576455116272,2304,"(16, 16, 3, 3)",2359296,1.0712211405916605e-05,3.0947103368816897e-07,0.024680934846401215,0.00019442227494437248,2.717857796596945e-07,0.4479489326477051,True
blocks.2.bn1,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.bn1,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.conv2,weight,0.3763020932674408,2304,"(16, 16, 3, 3)",2359296,1.1663585610222071e-05,2.1786188142414176e-07,0.026872901245951653,0.0001810343674151227,1.8522447930990893e-07,0.4171031713485718,True
blocks.2.bn2,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.bn2,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.shortcut,weight,1.0,16,"(16, 1, 1)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.conv1,weight,0.3823784589767456,4608,"(32, 16, 3, 3)",1179648,1.0162189937545918e-05,9.806473144635675e-08,0.046827372163534164,0.00011271169933024794,8.546408025722485e-08,0.5193755030632019,True
blocks.3.bn1,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.bn1,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.conv2,weight,0.2853732705116272,9216,"(32, 32, 3, 3)",2359296,5.10427253175294e-06,2.355923633956536e-08,0.04704097658395767,4.6934634156059474e-05,2.1382430048788592e-08,0.4325495958328247,True
blocks.3.bn2,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.bn2,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.shortcut.0,weight,0.458984375,512,"(32, 16, 1, 1)",131072,7.633506174897775e-05,1.063963850356231e-06,0.03908355161547661,0.000404609483666718,9.060820502782008e-07,0.20716005563735962,True
blocks.3.shortcut.1,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
