module,param,sparsity,size,shape,flops,score mean,score variance,score sum,score abs mean,score abs variance,score abs sum,prunable
conv,weight,0.5486111044883728,432,"(16, 3, 3, 3)",442368,0.2646999657154083,0.037301693111658096,114.35037994384766,0.2646999657154083,0.037301693111658096,114.35037994384766,True
bn,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
bn,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.conv1,weight,0.3315972089767456,2304,"(16, 16, 3, 3)",2359296,0.1740647405385971,0.019130656495690346,401.045166015625,0.1740647405385971,0.019130656495690346,401.045166015625,True
blocks.0.bn1,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.bn1,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.conv2,weight,0.3550347089767456,2304,"(16, 16, 3, 3)",2359296,0.17846263945102692,0.017937421798706055,411.17791748046875,0.17846263945102692,0.017937421798706055,411.17791748046875,True
blocks.0.bn2,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.bn2,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.shortcut,weight,1.0,16,"(16, 1, 1)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.conv1,weight,0.3498263955116272,2304,"(16, 16, 3, 3)",2359296,0.17818456888198853,0.01816335693001747,410.5372314453125,0.17818456888198853,0.01816335693001747,410.5372314453125,True
blocks.1.bn1,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.bn1,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.conv2,weight,0.3519965410232544,2304,"(16, 16, 3, 3)",2359296,0.17708992958068848,0.0194805096834898,408.01519775390625,0.17708992958068848,0.0194805096834898,408.01519775390625,True
blocks.1.bn2,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.bn2,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.shortcut,weight,1.0,16,"(16, 1, 1)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.conv1,weight,0.3337673544883728,2304,"(16, 16, 3, 3)",2359296,0.17590080201625824,0.020825497806072235,405.27545166015625,0.17590080201625824,0.020825497806072235,405.27545166015625,True
blocks.2.bn1,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.bn1,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.conv2,weight,0.3563368022441864,2304,"(16, 16, 3, 3)",2359296,0.17938658595085144,0.01901346817612648,413.30670166015625,0.17938658595085144,0.01901346817612648,413.30670166015625,True
blocks.2.bn2,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.bn2,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.shortcut,weight,1.0,16,"(16, 1, 1)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.conv1,weight,0.3502604067325592,4608,"(32, 16, 3, 3)",1179648,0.17921209335327148,0.01953902095556259,825.809326171875,0.17921209335327148,0.01953902095556259,825.809326171875,True
blocks.3.bn1,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.bn1,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.conv2,weight,0.3142361044883728,9216,"(32, 32, 3, 3)",2359296,0.1653548628091812,0.016118215397000313,1523.910400390625,0.1653548628091812,0.016118215397000313,1523.910400390625,True
blocks.3.bn2,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.bn2,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.shortcut.0,weight,0.60546875,512,"(32, 16, 1, 1)",131072,0.3250829577445984,0.06434756517410278,166.44247436523438,0.3250829577445984,0.06434756517410278,166.44247436523438,True
blocks.3.shortcut.1,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.shortcut.1,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.4.conv1,weight,0.3212890625,9216,"(32, 32, 3, 3)",2359296,0.1676836758852005,0.016338758170604706,1545.372802734375,0.1676836758852005,0.016338758170604706,1545.372802734375,True
blocks.4.bn1,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.4.bn1,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.4.conv2,weight,0.3217231035232544,9216,"(32, 32, 3, 3)",2359296,0.1669495701789856,0.016202446073293686,1538.607177734375,0.1669495701789856,0.016202446073293686,1538.607177734375,True
blocks.4.bn2,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.4.bn2,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.4.shortcut,weight,1.0,32,"(32, 1, 1)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.5.conv1,weight,0.3215060830116272,9216,"(32, 32, 3, 3)",2359296,0.16760259866714478,0.016762495040893555,1544.62548828125,0.16760259866714478,0.016762495040893555,1544.62548828125,True
blocks.5.bn1,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.5.bn1,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.5.conv2,weight,0.3274739682674408,9216,"(32, 32, 3, 3)",2359296,0.16695772111415863,0.016008567065000534,1538.682373046875,0.16695772111415863,0.016008567065000534,1538.682373046875,True
blocks.5.bn2,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.5.bn2,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.5.shortcut,weight,1.0,32,"(32, 1, 1)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.6.conv1,weight,0.3260091245174408,18432,"(64, 32, 3, 3)",1179648,0.1674177646636963,0.016386793926358223,3085.84423828125,0.1674177646636963,0.016386793926358223,3085.84423828125,True
blocks.6.bn1,weight,1.0,64,"(64,)",4096,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.6.bn1,bias,1.0,64,"(64,)",4096,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.6.conv2,weight,0.30615234375,36864,"(64, 64, 3, 3)",2359296,0.16212493181228638,0.015207041054964066,5976.5732421875,0.16212493181228638,0.015207041054964066,5976.5732421875,True
blocks.6.bn2,weight,1.0,64,"(64,)",4096,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.6.bn2,bias,1.0,64,"(64,)",4096,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.6.shortcut.0,weight,0.5009765625,2048,"(64, 32, 1, 1)",131072,0.252508282661438,0.03681696206331253,517.136962890625,0.252508282661438,0.03681696206331253,517.136962890625,True
blocks.6.shortcut.1,weight,1.0,64,"(64,)",4096,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.6.shortcut.1,bias,1.0,64,"(64,)",4096,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.7.conv1,weight,0.3074544370174408,36864,"(64, 64, 3, 3)",2359296,0.16313225030899048,0.015482602640986443,6013.70703125,0.16313225030899048,0.015482602640986443,6013.70703125,True
blocks.7.bn1,weight,1.0,64,"(64,)",4096,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.7.bn1,bias,1.0,64,"(64,)",4096,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.7.conv2,weight,0.3096245527267456,36864,"(64, 64, 3, 3)",2359296,0.16231006383895874,0.01546675805002451,5983.3984375,0.16231006383895874,0.01546675805002451,5983.3984375,True
blocks.7.bn2,weight,1.0,64,"(64,)",4096,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.7.bn2,bias,1.0,64,"(64,)",4096,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.7.shortcut,weight,1.0,64,"(64, 1, 1)",4096,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.8.conv1,weight,0.3058810830116272,36864,"(64, 64, 3, 3)",2359296,0.162095844745636,0.015639780089259148,5975.5009765625,0.162095844745636,0.015639780089259148,5975.5009765625,True
blocks.8.bn1,weight,1.0,64,"(64,)",4096,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.8.bn1,bias,1.0,64,"(64,)",4096,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.8.conv2,weight,0.3015407919883728,36864,"(64, 64, 3, 3)",2359296,0.15917477011680603,0.01422647014260292,5867.81884765625,0.15917477011680603,0.01422647014260292,5867.81884765625,True
blocks.8.bn2,weight,1.0,64,"(64,)",4096,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.8.bn2,bias,1.0,64,"(64,)",4096,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.8.shortcut,weight,1.0,64,"(64, 1, 1)",4096,0.0,0.0,0.0,0.0,0.0,0.0,False
fc,weight,0.7046874761581421,640,"(10, 64)",640,0.40847548842430115,0.08478740602731705,261.42431640625,0.40847548842430115,0.08478740602731705,261.42431640625,True
fc,bias,1.0,10,"(10,)",10,0.0,0.0,0.0,0.0,0.0,0.0,False
