train_loss,test_loss,top1_accuracy,top5_accuracy,inference_time
,56.12592470092773,10.0,49.94,0.10646876811981201
1.757446406173706,1.5115956174850464,45.29,91.75,0.10498860859870913
1.3819488142776488,1.3482445617675782,52.3,94.12,0.17063837003707885
1.223886090736389,1.1844769866943359,57.5,95.24,0.1681912312507629
1.099918380508423,1.1735572757720947,58.55,95.77,0.14240374398231506
1.018597655353546,1.0927097637176513,62.79,96.31,0.13347622466087344
0.9495356614875794,1.0072102001190186,65.63,96.84,0.1332316164970398
0.8942771715545654,1.0858582626342774,63.51,96.55,0.13994268798828124
0.8495260049629212,0.8845906377792359,69.35,97.5,0.15610268783569334
0.7996155186462403,0.8452636957168579,70.73,97.84,0.1484397106170654
0.766735513458252,0.8014559309005738,72.64,97.94,0.11492870354652407
