module,param,sparsity,size,shape,flops,score mean,score variance,score sum,score abs mean,score abs variance,score abs sum,prunable
conv,weight,0.9837962985038757,432,"(16, 3, 3, 3)",442368,3.1313924525874267e+22,inf,1.3527615395177683e+25,3.1313924525874267e+22,inf,1.3527615395177683e+25,True
bn,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
bn,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.conv1,weight,0.9283854365348816,2304,"(16, 16, 3, 3)",2359296,5.839303663503849e+21,inf,1.3453755784828055e+25,5.839303663503849e+21,inf,1.3453755784828055e+25,True
blocks.0.bn1,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.bn1,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.conv2,weight,0.9236111044883728,2304,"(16, 16, 3, 3)",2359296,5.839303100553895e+21,inf,1.345375463190655e+25,5.839303100553895e+21,inf,1.345375463190655e+25,True
blocks.0.bn2,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.bn2,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.shortcut,weight,1.0,16,"(16, 1, 1)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.conv1,weight,0.9214409589767456,2304,"(16, 16, 3, 3)",2359296,5.838533547967568e+21,inf,1.3451981438632465e+25,5.838533547967568e+21,inf,1.3451981438632465e+25,True
blocks.1.bn1,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.bn1,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.conv2,weight,0.9270833134651184,2304,"(16, 16, 3, 3)",2359296,5.838533547967568e+21,inf,1.3451981438632465e+25,5.838533547967568e+21,inf,1.3451981438632465e+25,True
blocks.1.bn2,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.bn2,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.shortcut,weight,1.0,16,"(16, 1, 1)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.conv1,weight,0.9288194179534912,2304,"(16, 16, 3, 3)",2359296,5.838183956046494e+21,inf,1.3451175546500745e+25,5.838183956046494e+21,inf,1.3451175546500745e+25,True
blocks.2.bn1,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.bn1,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.conv2,weight,0.9231770634651184,2304,"(16, 16, 3, 3)",2359296,5.83818339309654e+21,inf,1.345117439357924e+25,5.83818339309654e+21,inf,1.345117439357924e+25,True
blocks.2.bn2,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.bn2,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.shortcut,weight,1.0,16,"(16, 1, 1)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.conv1,weight,0.8504774570465088,4608,"(32, 16, 3, 3)",1179648,2.884068609621093e+21,inf,1.3289788441364374e+25,2.884068609621093e+21,inf,1.3289788441364374e+25,True
blocks.3.bn1,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.bn1,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.conv2,weight,0.7114800214767456,9216,"(32, 32, 3, 3)",2359296,1.4420424675848712e+21,inf,1.3289863381262173e+25,1.4420424675848712e+21,inf,1.3289863381262173e+25,True
blocks.3.bn2,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.bn2,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.shortcut.0,weight,0.248046875,512,"(32, 16, 1, 1)",131072,4.6461308150149127e+20,inf,2.3788189772876353e+23,4.6461308150149127e+20,inf,2.3788189772876353e+23,True
blocks.3.shortcut.1,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.shortcut.1,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.4.conv1,weight,0.7145182490348816,9216,"(32, 32, 3, 3)",2359296,1.4636173838122547e+21,inf,1.3488697376868175e+25,1.4636173838122547e+21,inf,1.3488697376868175e+25,True
blocks.4.bn1,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.4.bn1,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.4.conv2,weight,0.7098524570465088,9216,"(32, 32, 3, 3)",2359296,1.463585014189933e+21,inf,1.3488399923119986e+25,1.463585014189933e+21,inf,1.3488399923119986e+25,True
blocks.4.bn2,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.4.bn2,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.4.shortcut,weight,1.0,32,"(32, 1, 1)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.5.conv1,weight,0.7144097089767456,9216,"(32, 32, 3, 3)",2359296,1.4635610888169125e+21,inf,1.3488178562191102e+25,1.4635610888169125e+21,inf,1.3488178562191102e+25,True
blocks.5.bn1,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.5.bn1,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.5.conv2,weight,0.7127821445465088,9216,"(32, 32, 3, 3)",2359296,1.463567984953842e+21,inf,1.348824312579536e+25,1.463567984953842e+21,inf,1.348824312579536e+25,True
blocks.5.bn2,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.5.bn2,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.5.shortcut,weight,1.0,32,"(32, 1, 1)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.6.conv1,weight,0.4603407084941864,18432,"(64, 32, 3, 3)",1179648,7.241679129258282e+20,inf,1.334786340339443e+25,7.241679129258282e+20,inf,1.334786340339443e+25,True
blocks.6.bn1,weight,1.0,64,"(64,)",4096,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.6.bn1,bias,1.0,64,"(64,)",4096,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.6.conv2,weight,0.1393771767616272,36864,"(64, 64, 3, 3)",2359296,3.620833583285886e+20,inf,1.3347841497885842e+25,3.620833583285886e+20,inf,1.3347841497885842e+25,True
blocks.6.bn2,weight,1.0,64,"(64,)",4096,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.6.bn2,bias,1.0,64,"(64,)",4096,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.6.shortcut.0,weight,0.0,2048,"(64, 32, 1, 1)",131072,8.757636503514907e+19,inf,1.793563955919853e+23,8.757636503514907e+19,inf,1.793563955919853e+23,True
blocks.6.shortcut.1,weight,1.0,64,"(64,)",4096,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.6.shortcut.1,bias,1.0,64,"(64,)",4096,0.0,0.0,0.0,0.0,0.0,0.0,False
