train_loss,test_loss,top1_accuracy,top5_accuracy,inference_time
,10.176601416015625,10.34,49.91,0.17165657615661623
1.693135697402954,1.46428607006073,47.36,91.97,0.1402036168575287
1.3270425861358643,1.2374240491867066,55.51,95.02,0.11411235141754149
1.1509874626350403,1.136242525100708,59.83,95.37,0.11946598434448243
1.0284170391464234,1.117360094833374,61.36,95.8,0.15094563245773315
0.9397296264839172,0.9407125457763672,66.16,97.4,0.12162768030166628
0.8737566388130188,0.9594431680679322,67.21,97.5,0.12790774369239805
0.8197502532577514,0.9075013619422913,68.63,97.45,0.12263292837142943
0.7725462523078919,0.8847847621917725,69.59,97.81,0.14889808082580566
0.7284745553970337,0.8371669304847718,71.17,98.3,0.17216614246368409
0.7021992748069763,0.7293213967323303,74.74,98.56,0.18313948631286622
