train_loss,test_loss,top1_accuracy,top5_accuracy,inference_time
,2.680617453765869,10.09,49.35,0.02561244800686836
0.9574085550308228,0.47758286061286925,86.72,98.65,0.023374880015850065
0.36834283758799236,0.2803620069026947,91.95,99.29,0.02481897601485253
0.23430384276707966,0.22175788895487786,93.55,99.5,0.021719519942998887
0.1780658497174581,0.16918587227463722,94.94,99.72,0.026666688174009325
0.1476422210375468,0.1635894663631916,95.4,99.71,0.026783647865056995
0.12899162262280783,0.1404854354888201,95.85,99.78,0.017680159896612174
0.10820322555700938,0.12476848303005099,96.5,99.81,0.023097088009119034
0.09484323495229086,0.12214471029341221,96.39,99.83,0.01887798401713371
0.08443848453362783,0.11722821810692549,96.69,99.83,0.02629190388321876
0.07406152999003729,0.12179091776236892,96.51,99.83,0.02756470397114753
