module,param,sparsity,size,shape,flops,score mean,score variance,score sum,score abs mean,score abs variance,score abs sum,prunable
1,weight,0.27540814876556396,78400,"(100, 784)",78400,0.09390591084957123,0.0099902069196105,7362.2236328125,0.09390591084957123,0.0099902069196105,7362.2236328125,True
1,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
3,weight,0.45660001039505005,10000,"(100, 100)",10000,0.13701248168945312,0.012421078979969025,1370.124755859375,0.13701248168945312,0.012421078979969025,1370.124755859375,True
3,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
5,weight,0.42829999327659607,10000,"(100, 100)",10000,0.12924109399318695,0.010888364166021347,1292.4110107421875,0.12924109399318695,0.010888364166021347,1292.4110107421875,True
5,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
7,weight,0.37560001015663147,10000,"(100, 100)",10000,0.11426911503076553,0.00843976903706789,1142.691162109375,0.11426911503076553,0.00843976903706789,1142.691162109375,True
7,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
9,weight,0.3151000142097473,10000,"(100, 100)",10000,0.09952943027019501,0.006391675677150488,995.2943115234375,0.09952943027019501,0.006391675677150488,995.2943115234375,True
9,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
11,weight,0.4099999964237213,1000,"(10, 100)",1000,0.15057547390460968,0.022239627316594124,150.57546997070312,0.15057547390460968,0.022239627316594124,150.57546997070312,True
11,bias,1.0,10,"(10,)",10,0.0,0.0,0.0,0.0,0.0,0.0,False
