module,param,sparsity,size,shape,flops,score mean,score variance,score sum,score abs mean,score abs variance,score abs sum,prunable
1,weight,0.31739795207977295,78400,"(100, 784)",78400,0.002702724887058139,1.0004942417144775,211.8936309814453,0.7976956367492676,0.3641832172870636,62539.3359375,True
1,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
3,weight,0.3095000088214874,10000,"(100, 100)",10000,-0.004194517154246569,0.9951032400131226,-41.94517135620117,0.7920516729354858,0.36777499318122864,7920.5166015625,True
3,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
5,weight,0.3183000087738037,10000,"(100, 100)",10000,0.010098964907228947,0.9754693508148193,100.9896469116211,0.7896190285682678,0.35207319259643555,7896.1904296875,True
5,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
7,weight,0.3154999911785126,10000,"(100, 100)",10000,-0.002534490544348955,0.9882939457893372,-25.344905853271484,0.791693925857544,0.3615209460258484,7916.939453125,True
7,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
9,weight,0.3109999895095825,10000,"(100, 100)",10000,-0.012221363373100758,0.9823504090309143,-122.21363830566406,0.792564868927002,0.35434067249298096,7925.6484375,True
9,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
11,weight,0.3310000002384186,1000,"(10, 100)",1000,-0.024212658405303955,1.0357927083969116,-24.212657928466797,0.8261842131614685,0.35379868745803833,826.1842041015625,True
11,bias,1.0,10,"(10,)",10,0.0,0.0,0.0,0.0,0.0,0.0,False
