module,param,sparsity,size,shape,flops,score mean,score variance,score sum,score abs mean,score abs variance,score abs sum,prunable
1,weight,0.02420918457210064,78400,"(100, 784)",78400,5.375412940979004,9.872968673706055,421432.375,5.375412940979004,9.872968673706055,421432.375,True
1,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
3,weight,0.8741999864578247,10000,"(100, 100)",10000,42.1973762512207,606.436279296875,421973.75,42.1973762512207,606.436279296875,421973.75,True
3,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
5,weight,0.8759999871253967,10000,"(100, 100)",10000,42.22840118408203,605.87158203125,422284.0,42.22840118408203,605.87158203125,422284.0,True
5,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
7,weight,0.868399977684021,10000,"(100, 100)",10000,42.234432220458984,616.3387451171875,422344.3125,42.234432220458984,616.3387451171875,422344.3125,True
7,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
9,weight,0.8683000206947327,10000,"(100, 100)",10000,42.23572540283203,690.5466918945312,422357.25,42.23572540283203,690.5466918945312,422357.25,True
9,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
11,weight,0.9909999966621399,1000,"(10, 100)",1000,422.3592834472656,62346.08984375,422359.28125,422.3592834472656,62346.08984375,422359.28125,True
11,bias,1.0,10,"(10,)",10,0.0,0.0,0.0,0.0,0.0,0.0,False
