train_loss,test_loss,top1_accuracy,top5_accuracy,inference_time
,2.306739083480835,10.32,49.8,0.02331856000423432
0.9981636081695556,0.44235907788276674,86.66,99.17,0.022919455885887147
0.3856735164483388,0.33250837483406065,89.4,99.51,0.017929087936878207
0.30218979546229047,0.2688522964477539,91.72,99.65,0.022911071807146077
0.25879274543126424,0.24215828535556794,92.66,99.62,0.020111328095197677
0.22839838854471842,0.2141184064388275,93.28,99.72,0.023266015917062764
0.2052860303958257,0.2214732492685318,93.13,99.72,0.023599839895963672
0.19083577796618142,0.18623500720262529,94.34,99.72,0.015450463950634001
0.1722550995349884,0.17597886900901794,94.35,99.8,0.02845206373929977
0.16277348959843319,0.18324490916728972,94.36,99.82,0.02276857596635818
0.15201470640500386,0.17117173743247985,94.64,99.73,0.02334601622819901
