module,param,sparsity,size,shape,flops,score mean,score variance,score sum,score abs mean,score abs variance,score abs sum,prunable
conv,weight,0.49074074625968933,432,"(16, 3, 3, 3)",442368,0.0002043622371274978,1.0396200877949013e-06,0.08828448504209518,0.0005783205269835889,7.469294587281183e-07,0.24983447790145874,True
bn,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
bn,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.conv1,weight,0.2157118022441864,2304,"(16, 16, 3, 3)",2359296,2.525331365177408e-05,1.1419602685691643e-07,0.05818363279104233,0.00012474393588490784,9.927271094056778e-08,0.28741002082824707,True
blocks.0.bn1,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.bn1,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.conv2,weight,0.19140625,2304,"(16, 16, 3, 3)",2359296,2.5165583792841062e-05,1.4973801398809883e-07,0.05798150599002838,0.0001321683230344206,1.329028691543499e-07,0.3045158088207245,True
blocks.0.bn2,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.bn2,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.shortcut,weight,1.0,16,"(16, 1, 1)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.conv1,weight,0.2131076455116272,2304,"(16, 16, 3, 3)",2359296,1.2692408745351713e-05,1.4481489074569254e-07,0.029243309050798416,0.00013619946548715234,1.2642568947285326e-07,0.3138035535812378,True
blocks.1.bn1,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.bn1,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.conv2,weight,0.1901041716337204,2304,"(16, 16, 3, 3)",2359296,1.2430426068021916e-05,1.5298985545086907e-07,0.02863970212638378,0.000134733782033436,1.3499119688731298e-07,0.31042662262916565,True
blocks.1.bn2,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.bn2,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.shortcut,weight,1.0,16,"(16, 1, 1)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.conv1,weight,0.2044270783662796,2304,"(16, 16, 3, 3)",2359296,1.0712324183259625e-05,3.0947214213483676e-07,0.024681195616722107,0.00019442274060565978,2.7178671757610573e-07,0.44795000553131104,True
blocks.2.bn1,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.bn1,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.conv2,weight,0.2139756977558136,2304,"(16, 16, 3, 3)",2359296,1.1663639270409476e-05,2.178615545744833e-07,0.026873024180531502,0.00018103387265000492,1.8522433720136178e-07,0.41710203886032104,True
blocks.2.bn2,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.bn2,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.shortcut,weight,1.0,16,"(16, 1, 1)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.conv1,weight,0.1935763955116272,4608,"(32, 16, 3, 3)",1179648,1.0162217222386971e-05,9.806449696725394e-08,0.046827495098114014,0.00011271150287939236,8.54638884106862e-08,0.5193746089935303,True
blocks.3.bn1,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.bn1,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.conv2,weight,0.1059027761220932,9216,"(32, 32, 3, 3)",2359296,5.104286628920818e-06,2.3559067585665616e-08,0.04704110696911812,4.693448499892838e-05,2.1382271953029885e-08,0.4325482249259949,True
blocks.3.bn2,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.bn2,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.shortcut.0,weight,0.3046875,512,"(32, 16, 1, 1)",131072,7.633410859853029e-05,1.0639553238434019e-06,0.03908306360244751,0.00040460817399434745,9.060744332600734e-07,0.2071593850851059,True
blocks.3.shortcut.1,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.shortcut.1,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.4.conv1,weight,0.1227213516831398,9216,"(32, 32, 3, 3)",2359296,5.055533620179631e-06,3.164507234032499e-08,0.04659179598093033,5.758551924373023e-05,2.8354540049235766e-08,0.5307081341743469,True
blocks.4.bn1,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.4.bn1,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.4.conv2,weight,0.1381293386220932,9216,"(32, 32, 3, 3)",2359296,4.749246272695018e-06,4.86128968191224e-08,0.04376905411481857,7.131918391678482e-05,4.3549029271616746e-08,0.6572775840759277,True
blocks.4.bn2,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.4.bn2,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.4.shortcut,weight,1.0,32,"(32, 1, 1)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.5.conv1,weight,0.1200086772441864,9216,"(32, 32, 3, 3)",2359296,4.146201263210969e-06,4.530556196868929e-08,0.038211390376091,6.359847611747682e-05,4.12779783687256e-08,0.5861235857009888,True
blocks.5.bn1,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.5.bn1,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.5.conv2,weight,0.0899522602558136,9216,"(32, 32, 3, 3)",2359296,4.5125498218112625e-06,2.0281474277794587e-08,0.04158765822649002,3.835992902168073e-05,1.8830354164833807e-08,0.3535251021385193,True
blocks.5.bn2,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.5.bn2,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.5.shortcut,weight,1.0,32,"(32, 1, 1)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.6.conv1,weight,0.0966796875,18432,"(64, 32, 3, 3)",1179648,2.312849801455741e-06,8.773827886443542e-09,0.04263044893741608,3.2056079362519085e-05,7.75158515153862e-09,0.5908576250076294,True
