train_loss,test_loss,top1_accuracy,top5_accuracy,inference_time
,148164667716.4032,10.0,50.0,0.21116713523864744
2.8919983155059814,2.218988150024414,17.09,63.76,0.13716886496543884
2.0206804595565795,1.8511499507904052,30.32,84.03,0.13149686360359192
1.774842180404663,1.70744151802063,36.57,86.97,0.11737900781631468
1.6610990979766846,1.5993879474639892,39.86,90.02,0.10822140812873843
1.578851957359314,1.5320082828521728,43.5,91.17,0.18670688056945803
1.5172856204605103,1.4623392429351807,45.43,92.26,0.1790689604282379
1.4580004843902588,1.4632516450881958,46.96,92.07,0.1438177926540375
1.4062721272277832,1.3634661849975587,50.14,93.78,0.1816790716648102
1.3524918835449218,1.333940509033203,51.9,93.72,0.12374115157127383
1.3044723809432983,1.2803692260742188,53.9,94.62,0.1929962248802185
