module,param,sparsity,size,shape,flops,score mean,score variance,score sum,score abs mean,score abs variance,score abs sum,prunable
conv,weight,0.32175925374031067,432,"(16, 3, 3, 3)",442368,0.2647104263305664,0.037087276577949524,114.35490417480469,0.2647104263305664,0.037087276577949524,114.35490417480469,True
bn,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
bn,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.conv1,weight,0.1232638880610466,2304,"(16, 16, 3, 3)",2359296,0.17664410173892975,0.017918067052960396,406.9880065917969,0.17664410173892975,0.017918067052960396,406.9880065917969,True
blocks.0.bn1,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.bn1,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.conv2,weight,0.1176215261220932,2304,"(16, 16, 3, 3)",2359296,0.17770759761333466,0.018416818231344223,409.43829345703125,0.17770759761333466,0.018416818231344223,409.43829345703125,True
blocks.0.bn2,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.bn2,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.shortcut,weight,1.0,16,"(16, 1, 1)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.conv1,weight,0.1276041716337204,2304,"(16, 16, 3, 3)",2359296,0.1760300099849701,0.019208865240216255,405.5731506347656,0.1760300099849701,0.019208865240216255,405.5731506347656,True
blocks.1.bn1,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.bn1,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.conv2,weight,0.1310763955116272,2304,"(16, 16, 3, 3)",2359296,0.17852585017681122,0.018764100968837738,411.32354736328125,0.17852585017681122,0.018764100968837738,411.32354736328125,True
blocks.1.bn2,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.bn2,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.shortcut,weight,1.0,16,"(16, 1, 1)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.conv1,weight,0.1284722238779068,2304,"(16, 16, 3, 3)",2359296,0.17793099582195282,0.020115524530410767,409.9530029296875,0.17793099582195282,0.020115524530410767,409.9530029296875,True
blocks.2.bn1,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.bn1,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.conv2,weight,0.1271701455116272,2304,"(16, 16, 3, 3)",2359296,0.18093250691890717,0.01808597892522812,416.8684997558594,0.18093250691890717,0.01808597892522812,416.8684997558594,True
blocks.2.bn2,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.bn2,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.shortcut,weight,1.0,16,"(16, 1, 1)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.conv1,weight,0.1286892294883728,4608,"(32, 16, 3, 3)",1179648,0.17806383967399597,0.02017095685005188,820.5181884765625,0.17806383967399597,0.02017095685005188,820.5181884765625,True
blocks.3.bn1,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.bn1,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.conv2,weight,0.0985243022441864,9216,"(32, 32, 3, 3)",2359296,0.1652325987815857,0.016377536579966545,1522.7835693359375,0.1652325987815857,0.016377536579966545,1522.7835693359375,True
blocks.3.bn2,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
