train_loss,test_loss,top1_accuracy,top5_accuracy,inference_time
,4.898561293029785,10.0,50.0,0.18790502476692197
1.5136338147735595,1.0850918813705444,63.68,96.55,0.21039724874496457
0.9556646606826782,0.9132596973419189,69.26,97.58,0.13659641623497012
0.8274645718002319,0.8292397027015685,72.0,98.02,0.19076694416999818
0.7609130363082885,0.7758195634841919,74.07,98.17,0.19633548855781555
0.7037064317703247,0.7332170706748963,75.29,98.3,0.19775283098220825
0.6651192465019226,0.7055876215934753,76.57,98.4,0.11952031970024107
0.6363125157546997,0.6799386315345765,77.17,98.58,0.1279979522228241
0.6115332883262634,0.660737432384491,77.81,98.68,0.20152351999282841
0.5894173557186126,0.6437402044296264,78.57,98.67,0.1336442561149597
0.5704350681877136,0.6201675128936768,79.07,98.86,0.2096319038867951
