module,param,sparsity,size,shape,flops,score mean,score variance,score sum,score abs mean,score abs variance,score abs sum,prunable
conv,weight,0.6412037014961243,432,"(16, 3, 3, 3)",442368,3.55240044882521e-05,2.225581940962229e-09,0.01534637063741684,3.55240044882521e-05,2.225581940962229e-09,0.01534637063741684,True
bn,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
bn,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.conv1,weight,0.2230902761220932,2304,"(16, 16, 3, 3)",2359296,7.932199878268875e-06,3.1754165963349124e-10,0.0182757880538702,7.932199878268875e-06,3.1754165963349124e-10,0.0182757880538702,True
blocks.0.bn1,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.bn1,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.conv2,weight,0.2013888955116272,2304,"(16, 16, 3, 3)",2359296,8.332536708621774e-06,4.548217635846896e-10,0.019198164343833923,8.332536708621774e-06,4.548217635846896e-10,0.019198164343833923,True
blocks.0.bn2,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.bn2,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.0.shortcut,weight,1.0,16,"(16, 1, 1)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.conv1,weight,0.2174479216337204,2304,"(16, 16, 3, 3)",2359296,9.3326243586489e-06,5.679349768250574e-10,0.021502366289496422,9.3326243586489e-06,5.679349768250574e-10,0.021502366289496422,True
blocks.1.bn1,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.bn1,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.conv2,weight,0.2378472238779068,2304,"(16, 16, 3, 3)",2359296,1.0432840099383611e-05,6.120299822498509e-10,0.02403726428747177,1.0432840099383611e-05,6.120299822498509e-10,0.02403726428747177,True
blocks.1.bn2,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.bn2,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.1.shortcut,weight,1.0,16,"(16, 1, 1)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.conv1,weight,0.265625,2304,"(16, 16, 3, 3)",2359296,1.547931788081769e-05,1.6447112560769028e-09,0.03566434979438782,1.547931788081769e-05,1.6447112560769028e-09,0.03566434979438782,True
blocks.2.bn1,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.bn1,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.conv2,weight,0.2834201455116272,2304,"(16, 16, 3, 3)",2359296,1.3162098184693605e-05,9.392563393717523e-10,0.030325474217534065,1.3162098184693605e-05,9.392563393717523e-10,0.030325474217534065,True
blocks.2.bn2,weight,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.bn2,bias,1.0,16,"(16,)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.2.shortcut,weight,1.0,16,"(16, 1, 1)",16384,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.conv1,weight,0.2272135466337204,4608,"(32, 16, 3, 3)",1179648,8.976275239547249e-06,4.792551355770058e-10,0.04136267676949501,8.976275239547249e-06,4.792551355770058e-10,0.04136267676949501,True
blocks.3.bn1,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.bn1,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.conv2,weight,0.0970052108168602,9216,"(32, 32, 3, 3)",2359296,3.752449401872582e-06,1.366601831698233e-10,0.03458257392048836,3.752449401872582e-06,1.366601831698233e-10,0.03458257392048836,True
blocks.3.bn2,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.bn2,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.shortcut.0,weight,0.451171875,512,"(32, 16, 1, 1)",131072,3.247570930398069e-05,5.048147233566169e-09,0.016627563163638115,3.247570930398069e-05,5.048147233566169e-09,0.016627563163638115,True
blocks.3.shortcut.1,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.3.shortcut.1,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.4.conv1,weight,0.1338975727558136,9216,"(32, 32, 3, 3)",2359296,5.03436194776441e-06,2.0302751146950015e-10,0.04639668017625809,5.03436194776441e-06,2.0302751146950015e-10,0.04639668017625809,True
blocks.4.bn1,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.4.bn1,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.4.conv2,weight,0.1588541716337204,9216,"(32, 32, 3, 3)",2359296,5.875612259842455e-06,3.191873432228931e-10,0.05414964258670807,5.875612259842455e-06,3.191873432228931e-10,0.05414964258670807,True
blocks.4.bn2,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.4.bn2,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.4.shortcut,weight,1.0,32,"(32, 1, 1)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.5.conv1,weight,0.1499565988779068,9216,"(32, 32, 3, 3)",2359296,5.839237473992398e-06,2.6789911955482637e-10,0.05381441116333008,5.839237473992398e-06,2.6789911955482637e-10,0.05381441116333008,True
blocks.5.bn1,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.5.bn1,bias,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
blocks.5.conv2,weight,0.1021050363779068,9216,"(32, 32, 3, 3)",2359296,3.5935013329435606e-06,1.1271344274588202e-10,0.03311770781874657,3.5935013329435606e-06,1.1271344274588202e-10,0.03311770781874657,True
blocks.5.bn2,weight,1.0,32,"(32,)",8192,0.0,0.0,0.0,0.0,0.0,0.0,False
