module,param,sparsity,size,shape,flops,score mean,score variance,score sum,score abs mean,score abs variance,score abs sum,prunable
1,weight,0.05164540931582451,78400,"(100, 784)",78400,8.022543056540599e-07,5.569645300518289e-10,0.0628967359662056,1.2510939086496364e-05,4.010845544577535e-10,0.9808576107025146,True
1,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
3,weight,0.21649999916553497,10000,"(100, 100)",10000,1.698872074484825e-05,9.410976886670142e-09,0.16988719999790192,4.5064549340168014e-05,7.668779389291558e-09,0.45064547657966614,True
3,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
5,weight,0.2062000036239624,10000,"(100, 100)",10000,1.7014381228364073e-05,1.3496777917509917e-08,0.17014381289482117,5.192344178794883e-05,1.1090223850374059e-08,0.5192344188690186,True
5,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
7,weight,0.17640000581741333,10000,"(100, 100)",10000,1.7908057998283766e-05,2.5195067365757495e-08,0.17908057570457458,6.0779791965615004e-05,2.1821580986625122e-08,0.6077979207038879,True
7,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
9,weight,0.15649999678134918,10000,"(100, 100)",10000,2.0573133951984346e-05,3.435934559092857e-08,0.2057313323020935,6.636225589318201e-05,3.037865070609769e-08,0.6636225581169128,True
9,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
11,weight,0.33500000834465027,1000,"(10, 100)",1000,0.00021191698033362627,4.173014360731031e-07,0.211916983127594,0.00031507693347521126,3.6293670291343005e-07,0.31507694721221924,True
11,bias,1.0,10,"(10,)",10,0.0,0.0,0.0,0.0,0.0,0.0,False
