train_loss,test_loss,top1_accuracy,top5_accuracy,inference_time
,2.208386380767822,13.15,75.7,0.021330848067998887
0.25791475785970686,0.11663835851550103,96.8,99.73,0.029690912067890176
0.06391898755729199,0.09812845065202563,97.36,99.8,0.027494336038827897
0.04598771935304006,0.09612714540287852,97.39,99.85,0.021208095967769625
0.03684045360883077,0.09682668847586029,97.56,99.9,0.03248969620466232
0.030455727837483088,0.09629709795573727,97.55,99.86,0.021523520022630693
0.02549435551762581,0.09783684481123928,97.53,99.88,0.019167199999094008
0.021834278069933256,0.09860417874280829,97.58,99.89,0.020647904098033906
0.018515167358517645,0.10163906531830434,97.64,99.88,0.03162121576070786
0.01575929175366958,0.10318226654772297,97.71,99.89,0.02656051194667817
0.013318240828315417,0.10906894232663616,97.62,99.89,0.020877248048782354
