module,param,sparsity,size,shape,flops,score mean,score variance,score sum,score abs mean,score abs variance,score abs sum,prunable
1,weight,0.05405612289905548,78400,"(100, 784)",78400,5.158778094482841e-06,5.989313905940818e-11,0.4044482111930847,5.158778094482841e-06,5.989313905940818e-11,0.4044482111930847,True
1,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
3,weight,0.21889999508857727,10000,"(100, 100)",10000,1.2593442079378292e-05,4.2846867720491844e-10,0.1259344220161438,1.2593442079378292e-05,4.2846867720491844e-10,0.1259344220161438,True
3,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
5,weight,0.1817999929189682,10000,"(100, 100)",10000,1.1181150512129534e-05,4.830763566943119e-10,0.11181150376796722,1.1181150512129534e-05,4.830763566943119e-10,0.11181150376796722,True
5,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
7,weight,0.15109999477863312,10000,"(100, 100)",10000,1.0363038200011943e-05,6.846699318607818e-10,0.10363037884235382,1.0363038200011943e-05,6.846699318607818e-10,0.10363037884235382,True
7,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
9,weight,0.17659999430179596,10000,"(100, 100)",10000,1.5867044567130506e-05,2.0117267851560428e-09,0.15867044031620026,1.5867044567130506e-05,2.0117267851560428e-09,0.15867044031620026,True
9,bias,1.0,100,"(100,)",100,0.0,0.0,0.0,0.0,0.0,0.0,False
11,weight,0.4180000126361847,1000,"(10, 100)",1000,9.550493996357545e-05,5.414623416299946e-08,0.09550493955612183,9.550493996357545e-05,5.414623416299946e-08,0.09550493955612183,True
11,bias,1.0,10,"(10,)",10,0.0,0.0,0.0,0.0,0.0,0.0,False
