train_loss,test_loss,top1_accuracy,top5_accuracy,inference_time
,2.3066436065673828,10.32,49.8,0.030284864038228988
2.3019381688435874,2.301006170654297,11.35,52.14,0.03421363204717637
2.301403979365031,2.3012805709838866,11.35,51.63,0.027431936204433443
2.3014504002889,2.301328854751587,11.35,51.11,0.024518751978874206
2.301393115234375,2.3011662200927736,11.35,51.63,0.03479759985208511
2.301387711461385,2.3010417613983156,11.35,52.14,0.030582879900932322
2.3013295176188153,2.3011510738372802,11.35,51.62,0.026653696268796913
2.3013994351704916,2.301232054901123,11.35,52.14,0.021684223860502245
2.301429350789388,2.3010814628601075,11.35,52.14,0.027480032116174696
2.3013214179992674,2.3010651714324952,11.35,51.4,0.026813472151756283
2.301349533335368,2.3010371047973632,11.35,52.14,0.02490774402022362
